accx_avg,accy_avg,accz_avg,gyrox_avg,gyroy_avg,gyroz_avg,magx_avg,magy_avg,magz_avg,accx_std,accy_std,accz_std,gyrox_std,gyroy_std,gyroz_std,magx_std,magy_std,magz_std,accx_max,accy_max,accz_max,gyrox_max,gyroy_max,gyroz_max,magx_max,magy_max,magz_max,accx_min,accy_min,accz_min,gyrox_min,gyroy_min,gyroz_min,magx_min,magy_min,magz_min,class
0.783182,0.430071,-0.431495,0.417218,-1.1814,-2.46276,28.8548,-7.07396,-91.9162,0.0472134,0.043169,0.0175605,9.42392,5.0098,13.2958,0.489548,0.764326,0.502296,0.871277,0.524109,0.477661,18.0392,10.957,20.3186,29.7574,8.50628,93.1891,0.718842,0.35849,0.395569,0.37082,0.107012,0.788572,28.0327,5.43701,90.8506,standing
0.753227,0.462064,-0.438526,0.581608,-0.522768,-3.91737,29.7857,-5.38652,-91.7887,0.0453053,0.0393228,0.0257541,7.84901,6.68243,11.9428,0.799667,1.25467,0.577963,0.858398,0.541473,0.529358,15.7642,13.512,21.9964,31.2482,7.42473,93.1307,0.694427,0.382477,0.408386,0.17168,0.019512,0.348929,28.3543,2.60158,90.5875,standing
0.730621,0.415774,-0.457308,13.4022,-2.45625,6.02793,28.349,-7.3459,-91.965,0.164963,0.0788457,0.0519632,18.5175,27.3638,30.326,1.2693,2.01878,1.3958,1.00043,0.552948,0.623749,57.0642,91.733,76.684,31.1897,10.7279,93.7445,0.24231,0.22348,0.366913,0.17832,0.072012,2.29357,25.8989,2.98158,88.0152,standing
0.512032,0.581893,-0.578505,29.7032,23.2242,-10.5303,-13.8565,58.272,-82.719,0.215603,0.145149,0.0841311,69.8978,95.6949,37.1934,2.45022,3.99851,12.2619,1.30359,0.900208,0.657043,184.919,293.963,95.0786,17.5387,61.3563,107.542,0.185394,0.268951,0.233551,2.37668,0.890488,3.23857,9.6463,47.4423,71.0903,standing
0.758647,0.372568,-0.511842,0.878053,2.56095,-0.968353,-13.5385,45.7584,-109.749,0.0454025,0.0313476,0.0340897,12.8049,8.62423,9.13333,0.782682,0.787579,0.646679,0.88031,0.448029,0.58786,28.0142,21.068,15.7489,15.4925,47.413,111.108,0.688782,0.32132,0.440033,0.0208197,0.579512,0.716429,12.4817,43.9345,108.36,standing
0.757374,0.379694,-0.514126,6.95692,0.198445,-1.1651,-13.7644,45.1029,-110.106,0.0445548,0.0354992,0.0222978,10.4426,5.91224,10.7891,0.719081,1.37623,1.22261,0.857727,0.450714,0.557373,27.6117,11.8495,25.0786,15.1418,47.3253,112.452,0.676849,0.314758,0.465637,0.43418,0.702012,0.226428,12.1894,42.2391,108.243,standing
0.762919,0.335879,-0.531981,-3.21748,-0.0386005,3.01847,-12.8263,42.9796,-112.009,0.0371455,0.0278163,0.0190488,9.5225,5.7035,6.92815,0.833482,0.900495,0.678159,0.830811,0.385406,0.571014,26.7433,13.2495,15.3814,14.4987,44.7238,113.125,0.681152,0.276886,0.497253,0.11918,0.190488,0.281072,11.4879,41.4499,110.757,standing
0.78756,0.345891,-0.485352,3.931,0.675188,-2.27501,-11.7518,44.2268,-111.147,0.029642,0.0209113,0.0171957,9.32338,4.61429,5.10788,0.431382,1.49239,0.965271,0.84433,0.388855,0.510559,21.8192,11.6355,12.7061,12.8617,46.2146,112.745,0.730042,0.299194,0.45105,0.87832,0.557988,0.333572,10.7863,41.4499,109.617,standing
0.790022,0.311073,-0.506412,1.26888,-0.327087,1.62325,-11.3001,42.2125,-112.647,0.0188185,0.0144208,0.00930607,4.65746,2.50405,3.24763,0.548418,0.456235,0.30714,0.824615,0.347443,0.527039,13.5767,5.77701,9.29143,12.6571,43.0284,113.183,0.74115,0.290466,0.482941,0.0208197,0.00201202,0.0164284,10.1432,41.3037,112.043,standing
0.75947,0.353658,-0.504979,15.4821,-0.300038,-18.7043,-13.0097,39.8616,-113.665,0.0969052,0.0592807,0.0162457,22.7531,17.1185,26.6293,2.18821,3.08813,1.42575,0.863892,0.504517,0.548859,81.1792,61.0905,88.2186,18.7957,42.7653,117.89,0.495026,0.293213,0.458832,0.22418,0.067988,0.263572,10.7863,29.7281,112.043,standing
0.540537,0.735342,-0.394121,6.09358,0.103519,1.28226,21.9509,41.0601,-55.8945,0.017606,0.0268928,0.0311656,4.61485,2.13563,2.35244,0.279355,0.964688,0.694921,0.578278,0.774994,0.43396,13.1742,5.70701,6.75393,22.5373,42.6483,56.884,0.512909,0.690674,0.338165,0.14332,0.00201202,0.0689284,21.368,38.9944,54.5162,standing
